,FRSTFR_INFO_ID,FRSTFR_DCLR_PSTN_XCRD,FRSTFR_DCLR_PSTN_YCRD,FRSTFR_DCLR_YMD,FRSTFR_DCLR_HR,FRSTFR_DCLR_ADDR,FRSTFR_OCRN_SE_CD,FRSTFR_OCRN_STTS_CD,FRSTFR_OCRN_WIDIR_CD,FRSTFR_OCRN_WISP,DEL_YN,FRSTFR_PRGRS_STTS_CD,MAAS_OBTN_YMD
52,19483,128.879966,37.769268 ,20160321,215036,강원도 강릉시 교동 1933,01,31, ,0,,99,2022/06/22 17:45:31
56,17005,129.12079839598516,37.38806147721853,20160222,102014,강원특별자치도 삼척시 미로면 하정리 산 61,05,31,,,,99,2023/06/11 23:58:03
58,17043,128.9717963208157,37.39242589512074,20160222,105226,강원특별자치도 삼척시 하장면 중봉리 산 1,05,31,,,,99,2023/06/11 23:58:05
60,17070,128.8862186029685,37.41022603843883,20160222,113513,강원특별자치도 정선군 임계면 문래리 산 192-1,05,31,,,,99,2023/06/11 23:58:07
61,17072,129.15141726823933,37.19872286225765,20160222,113851,강원특별자치도 삼척시 도계읍 신리 산 138,05,31,,,,99,2023/06/11 23:54:09
64,17899,127.64237477212371,37.87562827203446,20160226,102521,강원도 춘천시 서면 덕두원리 산 163-10,05,31,,,,99,2022/06/22 17:20:31
77,2344,,,20080407,112400,강원 고성 현남 명파 ,01,04,,,,04,2018/04/25 00:00:00
78,2345,,,20080408,141500,강원 영월 북 문곡 산156-1,01,04,,,,04,2018/04/25 00:00:00
91,2447,,,20081013,140500,강원 인제 인제 고사 산1,01,04,,,,04,2018/04/25 00:00:00
93,2450,,,20081015,124000,강원 삼척 도계 흥전 산82,01,04,,,,04,2018/04/25 00:00:00
